[09:02:27] BLOCK #000001 | SUPPLY: 699,999,731.12 HUMA
[09:06:01] BLOCK #000072 | SUPPLY: 699,980,714.66 HUMA
[09:06:04] BLOCK #000073 | SUPPLY: 699,980,222.79 HUMA
[09:06:07] BLOCK #000074 | SUPPLY: 699,979,947.97 HUMA
[09:06:10] BLOCK #000075 | SUPPLY: 699,979,565.32 HUMA
[09:06:13] BLOCK #000076 | SUPPLY: 699,979,104.83 HUMA
[09:06:16] BLOCK #000077 | SUPPLY: 699,978,703.51 HUMA
[09:06:19] BLOCK #000078 | SUPPLY: 699,978,263.66 HUMA
[09:06:22] BLOCK #000079 | SUPPLY: 699,978,071.87 HUMA
[09:06:25] BLOCK #000080 | SUPPLY: 699,977,889.25 HUMA
[09:06:28] BLOCK #000081 | SUPPLY: 699,977,524.63 HUMA
[09:06:31] BLOCK #000082 | SUPPLY: 699,977,315.69 HUMA
[09:06:34] BLOCK #000083 | SUPPLY: 699,976,895.96 HUMA
[09:06:37] BLOCK #000084 | SUPPLY: 699,976,420.70 HUMA
[09:06:40] BLOCK #000085 | SUPPLY: 699,975,963.62 HUMA
[09:06:43] BLOCK #000086 | SUPPLY: 699,975,932.37 HUMA
[09:06:46] BLOCK #000087 | SUPPLY: 699,975,920.61 HUMA
[09:06:49] BLOCK #000088 | SUPPLY: 699,975,748.82 HUMA
[09:06:52] BLOCK #000089 | SUPPLY: 699,975,492.56 HUMA
[09:06:55] BLOCK #000090 | SUPPLY: 699,975,210.98 HUMA
[09:06:58] BLOCK #000091 | SUPPLY: 699,975,023.92 HUMA
[09:07:01] BLOCK #000092 | SUPPLY: 699,974,898.12 HUMA
[09:07:04] BLOCK #000093 | SUPPLY: 699,974,796.43 HUMA
[09:07:07] BLOCK #000094 | SUPPLY: 699,974,364.16 HUMA
[09:07:10] BLOCK #000095 | SUPPLY: 699,974,217.58 HUMA
[09:07:13] BLOCK #000096 | SUPPLY: 699,974,200.44 HUMA
[09:07:16] BLOCK #000097 | SUPPLY: 699,973,884.24 HUMA
[09:07:19] BLOCK #000098 | SUPPLY: 699,973,716.22 HUMA
[09:07:22] BLOCK #000099 | SUPPLY: 699,973,338.98 HUMA
[09:07:25] BLOCK #000100 | SUPPLY: 699,973,136.36 HUMA
[09:07:28] BLOCK #000101 | SUPPLY: 699,972,692.08 HUMA
[09:07:31] BLOCK #000102 | SUPPLY: 699,972,583.31 HUMA
[09:07:34] BLOCK #000103 | SUPPLY: 699,972,362.78 HUMA
[09:07:37] BLOCK #000104 | SUPPLY: 699,971,952.83 HUMA
[09:07:40] BLOCK #000105 | SUPPLY: 699,971,615.27 HUMA
[09:07:43] BLOCK #000106 | SUPPLY: 699,971,554.20 HUMA
[09:07:46] BLOCK #000107 | SUPPLY: 699,971,249.85 HUMA
[09:07:49] BLOCK #000108 | SUPPLY: 699,970,782.77 HUMA
[09:07:52] BLOCK #000109 | SUPPLY: 699,970,646.08 HUMA
[09:07:55] BLOCK #000110 | SUPPLY: 699,970,425.07 HUMA
[09:07:58] BLOCK #000111 | SUPPLY: 699,969,946.78 HUMA
[09:08:01] BLOCK #000112 | SUPPLY: 699,969,590.27 HUMA
[09:08:04] BLOCK #000113 | SUPPLY: 699,969,170.77 HUMA
[09:08:07] BLOCK #000114 | SUPPLY: 699,968,947.95 HUMA
[09:08:10] BLOCK #000115 | SUPPLY: 699,968,668.75 HUMA
[09:08:13] BLOCK #000116 | SUPPLY: 699,968,486.95 HUMA
[09:08:16] BLOCK #000117 | SUPPLY: 699,968,462.72 HUMA
[09:08:19] BLOCK #000118 | SUPPLY: 699,968,225.91 HUMA
[09:08:22] BLOCK #000119 | SUPPLY: 699,968,054.13 HUMA
[09:08:25] BLOCK #000120 | SUPPLY: 699,967,796.50 HUMA
[09:08:28] BLOCK #000121 | SUPPLY: 699,967,358.02 HUMA
[09:08:31] BLOCK #000122 | SUPPLY: 699,966,876.57 HUMA
[09:08:34] BLOCK #000123 | SUPPLY: 699,966,463.64 HUMA
[09:08:37] BLOCK #000124 | SUPPLY: 699,966,340.42 HUMA
[09:08:40] BLOCK #000125 | SUPPLY: 699,966,039.13 HUMA
[09:08:43] BLOCK #000126 | SUPPLY: 699,965,976.50 HUMA
[09:08:46] BLOCK #000127 | SUPPLY: 699,965,729.85 HUMA
[09:08:49] BLOCK #000128 | SUPPLY: 699,965,495.52 HUMA
[09:08:52] BLOCK #000129 | SUPPLY: 699,965,244.80 HUMA
[09:08:55] BLOCK #000130 | SUPPLY: 699,965,001.41 HUMA
[09:08:58] BLOCK #000131 | SUPPLY: 699,964,686.96 HUMA
[09:09:01] BLOCK #000132 | SUPPLY: 699,964,438.45 HUMA
[09:09:04] BLOCK #000133 | SUPPLY: 699,964,085.39 HUMA
[09:09:07] BLOCK #000134 | SUPPLY: 699,963,728.92 HUMA
[09:09:10] BLOCK #000135 | SUPPLY: 699,963,278.43 HUMA
[09:09:13] BLOCK #000136 | SUPPLY: 699,963,134.43 HUMA
[09:09:16] BLOCK #000137 | SUPPLY: 699,963,001.52 HUMA
[09:09:19] BLOCK #000138 | SUPPLY: 699,962,532.54 HUMA
[09:09:22] BLOCK #000139 | SUPPLY: 699,962,246.40 HUMA
[09:09:25] BLOCK #000140 | SUPPLY: 699,962,155.75 HUMA
[09:09:28] BLOCK #000141 | SUPPLY: 699,961,662.94 HUMA
[09:09:31] BLOCK #000142 | SUPPLY: 699,961,379.38 HUMA
[09:09:34] BLOCK #000143 | SUPPLY: 699,960,954.78 HUMA
[09:09:37] BLOCK #000144 | SUPPLY: 699,960,532.63 HUMA
[09:09:40] BLOCK #000145 | SUPPLY: 699,960,227.44 HUMA
[09:09:43] BLOCK #000146 | SUPPLY: 699,959,968.41 HUMA
[09:09:46] BLOCK #000147 | SUPPLY: 699,959,703.77 HUMA
[09:09:49] BLOCK #000148 | SUPPLY: 699,959,658.73 HUMA
[09:09:52] BLOCK #000149 | SUPPLY: 699,959,613.37 HUMA
[09:09:56] BLOCK #000150 | SUPPLY: 699,959,446.33 HUMA
[09:09:59] BLOCK #000151 | SUPPLY: 699,959,237.42 HUMA
[09:10:02] BLOCK #000152 | SUPPLY: 699,958,971.92 HUMA
[09:10:05] BLOCK #000153 | SUPPLY: 699,958,614.65 HUMA
[09:10:08] BLOCK #000154 | SUPPLY: 699,958,206.24 HUMA
[09:10:11] BLOCK #000155 | SUPPLY: 699,957,965.50 HUMA
[09:10:14] BLOCK #000156 | SUPPLY: 699,957,551.41 HUMA
[09:10:17] BLOCK #000157 | SUPPLY: 699,957,276.46 HUMA
[09:10:20] BLOCK #000158 | SUPPLY: 699,956,792.34 HUMA
[09:10:23] BLOCK #000159 | SUPPLY: 699,956,379.72 HUMA
[09:10:26] BLOCK #000160 | SUPPLY: 699,956,055.16 HUMA
[09:10:29] BLOCK #000161 | SUPPLY: 699,955,828.72 HUMA
[09:10:32] BLOCK #000162 | SUPPLY: 699,955,432.29 HUMA
[09:10:35] BLOCK #000163 | SUPPLY: 699,955,412.94 HUMA
[09:10:38] BLOCK #000164 | SUPPLY: 699,955,113.82 HUMA
[09:10:41] BLOCK #000165 | SUPPLY: 699,954,715.15 HUMA
[09:10:44] BLOCK #000166 | SUPPLY: 699,954,261.66 HUMA
[09:10:47] BLOCK #000167 | SUPPLY: 699,954,202.50 HUMA
[09:10:50] BLOCK #000168 | SUPPLY: 699,953,935.53 HUMA
[09:10:53] BLOCK #000169 | SUPPLY: 699,953,878.77 HUMA
[09:10:56] BLOCK #000170 | SUPPLY: 699,953,561.91 HUMA
[09:10:59] BLOCK #000171 | SUPPLY: 699,953,515.93 HUMA
[09:11:02] BLOCK #000172 | SUPPLY: 699,953,395.72 HUMA
[09:11:05] BLOCK #000173 | SUPPLY: 699,953,017.52 HUMA
[09:11:08] BLOCK #000174 | SUPPLY: 699,952,936.89 HUMA
[09:11:11] BLOCK #000175 | SUPPLY: 699,952,848.44 HUMA
[09:11:14] BLOCK #000176 | SUPPLY: 699,952,351.05 HUMA
[09:11:17] BLOCK #000177 | SUPPLY: 699,951,994.48 HUMA
[09:11:20] BLOCK #000178 | SUPPLY: 699,951,751.10 HUMA
[09:11:23] BLOCK #000179 | SUPPLY: 699,951,272.29 HUMA
[09:11:26] BLOCK #000180 | SUPPLY: 699,951,178.62 HUMA
[09:11:29] BLOCK #000181 | SUPPLY: 699,950,751.04 HUMA
[09:11:32] BLOCK #000182 | SUPPLY: 699,950,372.52 HUMA
[09:11:35] BLOCK #000183 | SUPPLY: 699,950,277.73 HUMA
[09:11:38] BLOCK #000184 | SUPPLY: 699,950,248.08 HUMA
[09:11:41] BLOCK #000185 | SUPPLY: 699,949,930.97 HUMA
[09:11:44] BLOCK #000186 | SUPPLY: 699,949,830.57 HUMA
[09:11:47] BLOCK #000187 | SUPPLY: 699,949,419.71 HUMA
[09:11:50] BLOCK #000188 | SUPPLY: 699,949,396.26 HUMA
[09:11:53] BLOCK #000189 | SUPPLY: 699,949,133.33 HUMA
[09:11:56] BLOCK #000190 | SUPPLY: 699,949,013.12 HUMA
[09:11:59] BLOCK #000191 | SUPPLY: 699,948,930.97 HUMA
[09:12:02] BLOCK #000192 | SUPPLY: 699,948,911.20 HUMA
[09:12:05] BLOCK #000193 | SUPPLY: 699,948,429.57 HUMA
[09:12:08] BLOCK #000194 | SUPPLY: 699,948,284.28 HUMA
[09:12:11] BLOCK #000195 | SUPPLY: 699,948,157.96 HUMA
[09:12:14] BLOCK #000196 | SUPPLY: 699,947,832.52 HUMA
[09:12:17] BLOCK #000197 | SUPPLY: 699,947,814.24 HUMA
[09:12:20] BLOCK #000198 | SUPPLY: 699,947,689.04 HUMA
[09:12:23] BLOCK #000199 | SUPPLY: 699,947,463.47 HUMA
[09:12:26] BLOCK #000200 | SUPPLY: 699,947,274.18 HUMA
[09:12:29] BLOCK #000201 | SUPPLY: 699,947,221.59 HUMA
[09:12:32] BLOCK #000202 | SUPPLY: 699,947,168.61 HUMA
[09:12:35] BLOCK #000203 | SUPPLY: 699,946,815.42 HUMA
[09:12:38] BLOCK #000204 | SUPPLY: 699,946,578.23 HUMA
[09:12:41] BLOCK #000205 | SUPPLY: 699,946,457.41 HUMA
[09:12:44] BLOCK #000206 | SUPPLY: 699,946,358.84 HUMA
[09:12:47] BLOCK #000207 | SUPPLY: 699,946,298.21 HUMA
[09:12:50] BLOCK #000208 | SUPPLY: 699,945,972.16 HUMA
[09:12:53] BLOCK #000209 | SUPPLY: 699,945,569.50 HUMA
[09:12:56] BLOCK #000210 | SUPPLY: 699,945,355.97 HUMA
[09:12:59] BLOCK #000211 | SUPPLY: 699,945,109.18 HUMA
[09:13:02] BLOCK #000212 | SUPPLY: 699,944,808.75 HUMA
[09:13:05] BLOCK #000213 | SUPPLY: 699,944,386.18 HUMA
[09:13:08] BLOCK #000214 | SUPPLY: 699,944,305.65 HUMA
[09:13:11] BLOCK #000215 | SUPPLY: 699,944,049.37 HUMA
[09:13:14] BLOCK #000216 | SUPPLY: 699,943,844.67 HUMA
[09:13:17] BLOCK #000217 | SUPPLY: 699,943,772.16 HUMA
[09:13:20] BLOCK #000218 | SUPPLY: 699,943,680.53 HUMA
[09:13:23] BLOCK #000219 | SUPPLY: 699,943,291.89 HUMA
[09:13:26] BLOCK #000220 | SUPPLY: 699,942,887.75 HUMA
[09:13:29] BLOCK #000221 | SUPPLY: 699,942,466.15 HUMA
[09:13:32] BLOCK #000222 | SUPPLY: 699,942,267.87 HUMA
[09:13:35] BLOCK #000223 | SUPPLY: 699,941,859.59 HUMA
[09:13:38] BLOCK #000224 | SUPPLY: 699,941,713.80 HUMA
[09:13:41] BLOCK #000225 | SUPPLY: 699,941,341.93 HUMA
[09:13:44] BLOCK #000226 | SUPPLY: 699,941,290.86 HUMA
[09:13:47] BLOCK #000227 | SUPPLY: 699,941,036.59 HUMA
[09:13:50] BLOCK #000228 | SUPPLY: 699,940,590.20 HUMA
[09:13:53] BLOCK #000229 | SUPPLY: 699,940,252.13 HUMA
[09:13:56] BLOCK #000230 | SUPPLY: 699,939,942.30 HUMA
[09:13:59] BLOCK #000231 | SUPPLY: 699,939,684.34 HUMA
[09:14:02] BLOCK #000232 | SUPPLY: 699,939,662.60 HUMA
[09:14:05] BLOCK #000233 | SUPPLY: 699,939,575.31 HUMA
[09:14:08] BLOCK #000234 | SUPPLY: 699,939,470.79 HUMA
[09:14:11] BLOCK #000235 | SUPPLY: 699,939,269.30 HUMA
[09:14:14] BLOCK #000236 | SUPPLY: 699,939,141.02 HUMA
[09:14:17] BLOCK #000237 | SUPPLY: 699,939,130.05 HUMA
[09:14:20] BLOCK #000238 | SUPPLY: 699,938,732.48 HUMA
[09:14:23] BLOCK #000239 | SUPPLY: 699,938,635.61 HUMA
[09:14:26] BLOCK #000240 | SUPPLY: 699,938,299.70 HUMA
[09:14:29] BLOCK #000241 | SUPPLY: 699,938,109.84 HUMA
[09:14:32] BLOCK #000242 | SUPPLY: 699,937,878.55 HUMA
[09:14:35] BLOCK #000243 | SUPPLY: 699,937,698.17 HUMA
[09:14:38] BLOCK #000244 | SUPPLY: 699,937,582.51 HUMA
[09:14:41] BLOCK #000245 | SUPPLY: 699,937,534.95 HUMA
[09:14:44] BLOCK #000246 | SUPPLY: 699,937,245.88 HUMA
[09:14:47] BLOCK #000247 | SUPPLY: 699,936,885.13 HUMA
[09:14:50] BLOCK #000248 | SUPPLY: 699,936,465.21 HUMA
[09:14:53] BLOCK #000249 | SUPPLY: 699,936,261.22 HUMA
[09:14:56] BLOCK #000250 | SUPPLY: 699,935,961.75 HUMA
[09:14:59] BLOCK #000251 | SUPPLY: 699,935,519.36 HUMA
[09:15:02] BLOCK #000252 | SUPPLY: 699,935,461.51 HUMA
[09:15:05] BLOCK #000253 | SUPPLY: 699,935,221.28 HUMA
[09:15:08] BLOCK #000254 | SUPPLY: 699,934,922.36 HUMA
[09:15:11] BLOCK #000255 | SUPPLY: 699,934,431.20 HUMA
[09:15:14] BLOCK #000256 | SUPPLY: 699,934,215.13 HUMA
[09:15:17] BLOCK #000257 | SUPPLY: 699,933,765.61 HUMA
[09:15:20] BLOCK #000258 | SUPPLY: 699,933,497.71 HUMA
[09:15:23] BLOCK #000259 | SUPPLY: 699,933,090.26 HUMA
[09:15:26] BLOCK #000260 | SUPPLY: 699,932,985.93 HUMA
[09:15:29] BLOCK #000261 | SUPPLY: 699,932,799.73 HUMA
[09:15:32] BLOCK #000262 | SUPPLY: 699,932,720.60 HUMA
[09:15:35] BLOCK #000263 | SUPPLY: 699,932,427.42 HUMA
[09:15:38] BLOCK #000264 | SUPPLY: 699,932,165.85 HUMA
[09:15:41] BLOCK #000265 | SUPPLY: 699,931,866.98 HUMA
[09:15:44] BLOCK #000266 | SUPPLY: 699,931,481.81 HUMA
[09:15:47] BLOCK #000267 | SUPPLY: 699,931,104.26 HUMA
[09:15:50] BLOCK #000268 | SUPPLY: 699,930,879.39 HUMA
[09:15:53] BLOCK #000269 | SUPPLY: 699,930,453.04 HUMA
[09:15:56] BLOCK #000270 | SUPPLY: 699,930,290.27 HUMA
[09:15:59] BLOCK #000271 | SUPPLY: 699,930,113.18 HUMA
[09:16:02] BLOCK #000272 | SUPPLY: 699,929,842.50 HUMA
[09:16:05] BLOCK #000273 | SUPPLY: 699,929,347.12 HUMA
[09:16:08] BLOCK #000274 | SUPPLY: 699,929,033.52 HUMA
[09:16:11] BLOCK #000275 | SUPPLY: 699,928,901.08 HUMA
[09:16:14] BLOCK #000276 | SUPPLY: 699,928,494.49 HUMA
[09:16:17] BLOCK #000277 | SUPPLY: 699,928,040.71 HUMA
[09:16:20] BLOCK #000278 | SUPPLY: 699,927,941.23 HUMA
[09:16:23] BLOCK #000279 | SUPPLY: 699,927,807.13 HUMA
[09:16:26] BLOCK #000280 | SUPPLY: 699,927,705.77 HUMA
[09:16:29] BLOCK #000281 | SUPPLY: 699,927,593.47 HUMA
[09:16:32] BLOCK #000282 | SUPPLY: 699,927,393.60 HUMA
[09:16:35] BLOCK #000283 | SUPPLY: 699,927,137.16 HUMA
[09:16:38] BLOCK #000284 | SUPPLY: 699,926,712.10 HUMA
[09:16:41] BLOCK #000285 | SUPPLY: 699,926,264.00 HUMA
[09:16:44] BLOCK #000286 | SUPPLY: 699,925,913.27 HUMA
[09:16:47] BLOCK #000287 | SUPPLY: 699,925,725.70 HUMA
[09:16:50] BLOCK #000288 | SUPPLY: 699,925,246.91 HUMA
[09:16:53] BLOCK #000289 | SUPPLY: 699,925,079.33 HUMA
[09:16:56] BLOCK #000290 | SUPPLY: 699,924,819.05 HUMA
[09:17:00] BLOCK #000291 | SUPPLY: 699,924,493.05 HUMA
[09:17:03] BLOCK #000292 | SUPPLY: 699,924,452.69 HUMA
[09:17:06] BLOCK #000293 | SUPPLY: 699,924,350.18 HUMA
[09:17:09] BLOCK #000294 | SUPPLY: 699,924,168.92 HUMA
[09:17:12] BLOCK #000295 | SUPPLY: 699,923,859.42 HUMA
[09:17:15] BLOCK #000296 | SUPPLY: 699,923,588.25 HUMA
[09:17:18] BLOCK #000297 | SUPPLY: 699,923,424.86 HUMA
[09:17:21] BLOCK #000298 | SUPPLY: 699,922,959.42 HUMA
[09:17:24] BLOCK #000299 | SUPPLY: 699,922,540.30 HUMA
[09:17:27] BLOCK #000300 | SUPPLY: 699,922,473.46 HUMA
[09:17:30] BLOCK #000301 | SUPPLY: 699,922,045.13 HUMA
[09:17:33] BLOCK #000302 | SUPPLY: 699,921,993.45 HUMA
[09:17:36] BLOCK #000303 | SUPPLY: 699,921,961.13 HUMA
[09:17:39] BLOCK #000304 | SUPPLY: 699,921,563.36 HUMA
[09:17:42] BLOCK #000305 | SUPPLY: 699,921,093.53 HUMA
[09:17:45] BLOCK #000306 | SUPPLY: 699,920,743.76 HUMA
[09:17:48] BLOCK #000307 | SUPPLY: 699,920,248.43 HUMA
[09:17:51] BLOCK #000308 | SUPPLY: 699,919,755.92 HUMA
[09:17:54] BLOCK #000309 | SUPPLY: 699,919,351.99 HUMA
[09:17:57] BLOCK #000310 | SUPPLY: 699,919,224.09 HUMA
[09:18:00] BLOCK #000311 | SUPPLY: 699,918,983.54 HUMA
[09:18:03] BLOCK #000312 | SUPPLY: 699,918,700.13 HUMA
[09:18:06] BLOCK #000313 | SUPPLY: 699,918,409.58 HUMA
[09:18:09] BLOCK #000314 | SUPPLY: 699,918,274.47 HUMA
[09:18:12] BLOCK #000315 | SUPPLY: 699,917,915.04 HUMA
[09:18:15] BLOCK #000316 | SUPPLY: 699,917,742.18 HUMA
[09:18:18] BLOCK #000317 | SUPPLY: 699,917,622.48 HUMA
[09:18:21] BLOCK #000318 | SUPPLY: 699,917,452.59 HUMA
[09:18:24] BLOCK #000319 | SUPPLY: 699,917,058.80 HUMA
[09:18:27] BLOCK #000320 | SUPPLY: 699,916,566.31 HUMA
[09:18:30] BLOCK #000321 | SUPPLY: 699,916,389.61 HUMA
[09:18:33] BLOCK #000322 | SUPPLY: 699,915,976.92 HUMA
[09:18:36] BLOCK #000323 | SUPPLY: 699,915,926.36 HUMA
[09:18:39] BLOCK #000324 | SUPPLY: 699,915,650.25 HUMA
[09:18:42] BLOCK #000325 | SUPPLY: 699,915,531.53 HUMA
[09:18:45] BLOCK #000326 | SUPPLY: 699,915,294.07 HUMA
[09:18:48] BLOCK #000327 | SUPPLY: 699,914,902.90 HUMA
[09:18:51] BLOCK #000328 | SUPPLY: 699,914,522.13 HUMA
[09:18:54] BLOCK #000329 | SUPPLY: 699,914,237.69 HUMA
[09:18:57] BLOCK #000330 | SUPPLY: 699,913,920.16 HUMA
[09:19:00] BLOCK #000331 | SUPPLY: 699,913,629.30 HUMA
[09:19:03] BLOCK #000332 | SUPPLY: 699,913,360.35 HUMA
[09:19:06] BLOCK #000333 | SUPPLY: 699,912,960.09 HUMA
[09:19:09] BLOCK #000334 | SUPPLY: 699,912,731.79 HUMA
[09:19:12] BLOCK #000335 | SUPPLY: 699,912,497.92 HUMA
[09:19:15] BLOCK #000336 | SUPPLY: 699,912,429.65 HUMA
[09:19:18] BLOCK #000337 | SUPPLY: 699,912,277.79 HUMA
[09:19:21] BLOCK #000338 | SUPPLY: 699,912,166.70 HUMA
[09:19:24] BLOCK #000339 | SUPPLY: 699,911,724.10 HUMA
[09:19:27] BLOCK #000340 | SUPPLY: 699,911,614.30 HUMA
[09:19:30] BLOCK #000341 | SUPPLY: 699,911,315.94 HUMA
[09:19:33] BLOCK #000342 | SUPPLY: 699,911,297.75 HUMA
[09:19:36] BLOCK #000343 | SUPPLY: 699,911,160.26 HUMA
[09:19:39] BLOCK #000344 | SUPPLY: 699,910,689.66 HUMA
[09:19:42] BLOCK #000345 | SUPPLY: 699,910,459.57 HUMA
[09:19:45] BLOCK #000346 | SUPPLY: 699,910,411.46 HUMA
[09:19:48] BLOCK #000347 | SUPPLY: 699,910,134.28 HUMA
[09:19:51] BLOCK #000348 | SUPPLY: 699,909,694.95 HUMA
[09:19:54] BLOCK #000349 | SUPPLY: 699,909,412.33 HUMA
[09:19:57] BLOCK #000350 | SUPPLY: 699,908,941.86 HUMA
[09:20:00] BLOCK #000351 | SUPPLY: 699,908,559.18 HUMA
[09:20:03] BLOCK #000352 | SUPPLY: 699,908,173.75 HUMA
[09:20:06] BLOCK #000353 | SUPPLY: 699,907,719.77 HUMA
[09:20:09] BLOCK #000354 | SUPPLY: 699,907,513.71 HUMA
[09:20:12] BLOCK #000355 | SUPPLY: 699,907,114.60 HUMA
[09:20:15] BLOCK #000356 | SUPPLY: 699,907,071.52 HUMA
[09:20:18] BLOCK #000357 | SUPPLY: 699,907,002.46 HUMA
[09:20:21] BLOCK #000358 | SUPPLY: 699,906,857.00 HUMA
[09:20:24] BLOCK #000359 | SUPPLY: 699,906,456.24 HUMA
[09:20:27] BLOCK #000360 | SUPPLY: 699,906,339.65 HUMA
[09:20:30] BLOCK #000361 | SUPPLY: 699,906,285.94 HUMA
[09:20:33] BLOCK #000362 | SUPPLY: 699,906,239.79 HUMA
[09:20:36] BLOCK #000363 | SUPPLY: 699,906,000.69 HUMA
[09:20:39] BLOCK #000364 | SUPPLY: 699,905,761.44 HUMA
[09:20:42] BLOCK #000365 | SUPPLY: 699,905,463.39 HUMA
[09:20:45] BLOCK #000366 | SUPPLY: 699,905,083.62 HUMA
[09:20:48] BLOCK #000367 | SUPPLY: 699,904,792.33 HUMA
